"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",0.014378796508471,-0.039273416940555,-0.0470336541413715,0.0323388172070621,0.0491561269806802,0.0582920809442797,0.00173700897341782,0.0161855529698731,0.0170262022476448,-0.00417614593891719,0.00938302877260165,-0.0739983536936883,-0.0090764518686265,0.00594257908627251,-0.00585618708309679,-0.0291041052911041,-0.0604789205700698,0.0605576601486838,0.0689855163697029,0.000921054289570401,-0.0461272740200823,0.0436064632485835,-0.0397680114071667,0.0197321886575252,-0.0814007895474062,0.0657612010658201,0.0125533397857618,0.00874061903431067,-0.0544119118342601,-0.0571777691952541,0.0224180674649468,-0.00835818125859716,-0.0168690044646422
"21",0.009864852467451,-0.0350936066025746,-0.0649083501921479,0.038475700074014,0.0468440603081362,0.0646477002983925,0.0313663714282086,0.0133944539205208,0.0240866187818855,0.0118690171321751,0.00685969578145461,-0.0810560322724866,0.00901862746603993,0.0033954429002551,-0.0253291180715606,-0.0030363615655866,-0.0556453036709983,0.0466600727341077,0.0611029890923665,0.0151879991716935,-0.0640747135810822,0.0582320799412543,-0.0217378450032112,-0.00274990081317885,-0.0495354930366213,0.073118434923579,0.0212357854610963,0.0312263727843941,-0.0518046906611939,-0.055774623525634,0.0143782288222411,-0.0104534007895366,-0.032158636056089
"22",0.00132707792081645,-0.0288479404430098,-0.0440030679980973,0.0259254903435959,0.0380716800013624,0.0708974998837147,0.040104261627236,0.00793207947636381,0.0283438291044801,0.0412826986230089,0.0320242748577943,-0.0877137725633339,0.00706570049842029,-0.0126084237403444,-0.0389011065841355,0.0057531484531572,-0.0711382264575716,0.0335774331339675,0.0637817110411097,0.0458781771920568,-0.0719617664655676,0.0574211567046431,0.00289617681624062,0.00359718795898265,-0.0534522737588576,0.0742420511975988,0.0136221610761412,0.024451067308438,-0.0736544513614941,-0.0527484315572367,-0.00115009721688953,-0.00187853612989448,-0.0512300692701268
"23",-0.00814742386212229,-0.0319104862709547,-0.0562796166320288,0.0323751920871707,0.0352488625965838,0.0626900129258119,0.0487094498794664,0.0122402184316461,0.0313820940920561,0.0504172162925329,0.023316587729425,-0.0856403804637266,0.0188019771681973,-0.0215027404522946,-0.0500241030583153,0.0243706560775614,-0.0604412957235292,0.0183855071116549,0.0540863705625441,0.0609052765773533,-0.0876891263219131,0.0580079983537815,0.0166126676624033,-0.0127445955283991,-0.0387293711389402,0.0759990105825234,0.0081842948323047,0.031374114062077,-0.0774152397812517,-0.0453479588231677,-0.00760832254424619,0.0100381602870621,-0.0469682042961343
"24",-0.0123199341721466,-0.0377083653589639,-0.0504982797661298,0.0244551166175915,0.0417124535656473,0.0521188928650126,0.0331177013213385,0.0139665315414008,0.0302470581371074,0.047275988046692,0.0186328435010637,-0.0812215492402447,0.0203030647673902,-0.0255433912684051,-0.0472282478714961,0.0308518850224758,-0.0571353121443949,0.0167525643528306,0.0460368736769304,0.07007343188608,-0.0955019560039649,0.0484800774866478,0.0292404975218182,-0.0193518197402202,-0.0452574659243479,0.0801238255010702,-0.0084492478267508,0.0259634407993034,-0.0805017440910333,-0.0341208588874102,-0.0144235761620539,0.0308608707805058,-0.0343621049633955
"25",-0.0105643563961913,-0.0411096253056719,-0.0301720150510437,0.00614651114331549,0.0521459540783515,0.0413213308778914,0.000922783314002159,0.0132176616105217,0.0236068125250956,0.0323403291744441,0.016717144125269,-0.0721696264851398,0.013002934376709,-0.0253079886379669,-0.0333406508515302,0.02341019288636,-0.0581393111851263,0.0274007999906173,0.0399432277237245,0.066854343135254,-0.0912393466675092,0.0283627355883227,0.0381680223151319,-0.017457703116138,-0.0650811260462096,0.0818171538886649,-0.0293531170483069,0.0107494380724231,-0.0782745812482128,-0.0207532915737494,-0.0180613255370327,0.0538323317392754,-0.0186481486954928
"26",-0.00695164414413465,-0.0402229324511355,-0.0119173948868203,-0.00867517457104263,0.0577286444623742,0.0341137795170875,-0.0240491948919802,0.0114924037613713,0.016351321871358,0.0178798312359034,0.0158530465723309,-0.0626978286193167,0.0050526255259403,-0.0231902222761951,-0.0201500335450721,0.0126924512904256,-0.0583746403846406,0.037732843925136,0.036192458253497,0.0576142380998321,-0.0812197578627308,0.0109790245052135,0.0412337819070171,-0.0129614876903839,-0.0796090568375671,0.0790587664953747,-0.0419834804706921,-0.00228138149751381,-0.0722644221474118,-0.0115734375800437,-0.0181594683611903,0.0666252553992483,-0.00825460200395394
"27",-0.00443535549943176,-0.0136558246121591,0.03770087577075,-0.0391063578587225,0.0497251379901815,0.0440744683762119,-0.0377729091458944,-0.000794847865871246,0.0166634248430122,0.0408074536759225,0.0463337038612894,-0.05505901837818,0.000317727356511152,-0.00914680535396656,-0.0272651096231983,-0.0136011637392809,-0.0851069349765622,0.0347837397393706,0.049135400099166,0.0606993753054797,-0.0537607917332146,0.0109571415960776,0.0461524734481323,0.0102775664491024,-0.0831524714258621,0.0744988887314647,-0.0502244308880863,-0.0181029629503119,-0.0781110982351866,-0.00669468289395667,-0.0346950889253237,0.0409322052598904,-0.0213327002364444
"28",-0.00857167927656313,-0.0280432786616116,0.0142869189274072,-0.0271787543498424,0.0511619419020653,0.036313297572682,-0.0361619544336933,0.00889121476584041,0.014844698758757,0.0255902575999604,0.0251679005514902,-0.0537686602513155,0.00418084325476673,-0.0212462456412615,-0.0237279469883194,-0.00211700992192294,-0.068763619717692,0.0358398327945888,0.0434682512313112,0.0563113107557625,-0.0696902230176276,0.000678204178834382,0.0484808894672198,-0.00566869770806332,-0.0847036788565263,0.0746392070598876,-0.050829393868699,-0.0137538824954269,-0.0753426361706759,-0.00206463938786424,-0.028761587837566,0.0662421316977589,-0.0088036844655223
"29",-0.00637229854371385,-0.0339799972633961,0.00574242752207008,-0.0222668180034705,0.0554018524979201,0.0319520750135168,-0.0388478635425483,0.0100723190578663,0.0118802692987378,0.0135496415270778,0.01747706293399,-0.0535403121675374,0.00144731508719839,-0.0219711681929951,-0.0154851894513631,0.00166124687207858,-0.0610744570348616,0.0411367948989413,0.0381013565019645,0.0510705320697353,-0.0711380299175679,-0.00205623420483398,0.0452155897013503,-0.00880717661655629,-0.0869718244220169,0.0739631435448953,-0.0495613641702546,-0.0126714415262161,-0.0694851120088022,-0.00340078471624442,-0.0220398999405967,0.0722043059530115,-0.00380358859293097
"30",-0.00464865836446613,-0.0358461283555878,0.00368498361369241,-0.0207918901481853,0.0579048297060292,0.030467451130833,-0.0407717570050176,0.00980498962792066,0.0104575195939251,0.00851664386534946,0.0156916116302886,-0.053712155341706,-0.000483908041336121,-0.0214105330601078,-0.0115927863398366,0.00230076033859079,-0.0587991430437848,0.0441718828274799,0.0357341506761543,0.0486358929701331,-0.0705058532551045,-0.00286079618557214,0.0432759065573456,-0.00892480447169541,-0.0884761998104458,0.073849578813666,-0.0491352646081463,-0.012658104185076,-0.0668963041352691,-0.00447179129274349,-0.0188818913499958,0.0730873506377722,-0.0025902290028101
"31",-0.0038176403492833,-0.0364482010481165,0.00326368775988117,-0.0203750219384337,0.0590343699572048,0.0299868506317666,-0.0417367119465948,0.00959827462712283,0.00984428349394812,0.00665401086438355,0.0153417271333418,-0.0538462406531542,-0.00137085721393238,-0.0210846496760678,-0.010121187399422,0.00225726439604675,-0.0581775784767758,0.0454764095138905,0.0348018979185247,0.0476758648507112,-0.0700489773094968,-0.00318242189117044,0.0424416111993748,-0.00869417700898868,-0.0892040868880995,0.0738742584116487,-0.0490666313032979,-0.012768240755456,-0.0659053016845697,-0.00495960019145748,-0.0176173660743247,0.0731739211328761,-0.00229912314827829
"32",-0.00349370851136142,-0.0366356184521897,0.00318009049111572,-0.0202355460719126,0.0594680526897601,0.0298388614963915,-0.0421155492496229,0.00950983203629247,0.00961780715889746,0.00599832060508539,0.0152808255244735,-0.053905146459873,-0.00170829318383007,-0.0209693802680987,-0.00961731594866548,0.00218288780848024,-0.058003358213707,0.0459689875096127,0.034467458053622,0.0473159031784201,-0.0698556392244797,-0.00331345063828031,0.0421361725789297,-0.00858040573312517,-0.0894987621833204,0.0738889823561142,-0.0490616157967525,-0.0128223081968524,-0.06556481415078,-0.0051369799643138,-0.0171529151737482,0.0731534726596354,-0.00224629010477951
"33",-0.00337136531443684,-0.0366980130095909,0.00316706002295652,-0.0201870017679322,0.0596284660863398,0.0297901920541248,-0.0422597366990341,0.00947860373944674,0.00953331405725637,0.0057663867459081,0.015271894880001,-0.0539276644914481,-0.00183401492352125,-0.0209289518803188,-0.00944461181346411,0.00213832989782824,-0.0579502035188458,0.0461502761227794,0.0343490992704881,0.0471855216668462,-0.0697806207207402,-0.00336331555052705,0.0420226179459151,-0.00852981252139769,-0.0896114531648948,0.0738946709309053,-0.0490653093932654,-0.0128425128176958,-0.0654448678374407,-0.00520349172994301,-0.0169832644690909,0.0731342286156122,-0.00223562858432792
"34",-0.00336776062910997,-0.0366977936671371,0.00314804075030924,-0.0201348748055048,0.0596479501089705,0.0297851834668157,-0.0422488629700296,0.00946685446862459,0.00954555093144003,0.00571033778082741,0.015266928579827,-0.0539291651519474,-0.00184018740026659,-0.0209465802612422,-0.00941952771991939,0.00215808599088103,-0.0579278161736701,0.0461932883151806,0.0343395578746573,0.0471542396589094,-0.0697860479011349,-0.00337050580677998,0.0420130950223327,-0.00857291873845603,-0.0896362068950388,0.0738767941798457,-0.0490536448716675,-0.0128282786528292,-0.0654574173138607,-0.00519742970096836,-0.0169455436355608,0.0730976135060923,-0.00227783482144199
"35",0.000714990053677644,-0.0522189399873868,-0.0406324770694523,-0.000206615007873897,0.0472297887706608,0.0805556515553935,0.0129553002341389,0.0238912011694234,0.0294499821240892,-0.0429781852025121,-0.00245672066565692,-0.0926355209011715,-0.0010933964697129,0.0309660665453663,-0.00370781403407296,-0.0449281167162659,-0.0444002322547757,0.0662715350796334,0.0718284435406977,-0.0295385175894322,-0.015622020192387,0.0450642957288577,-0.0103783028043382,0.00315333186554884,-0.0494620512022463,0.0214987379922038,0.0410437350284512,0.0213937840401514,-0.0386849738209519,-0.0579219120895072,0.0325313740937966,-0.0289590528149915,0.0125623749977087
"36",-0.00483934063924438,-0.035134325133684,-0.0288121916624575,0.0347813765511301,0.0470139832223785,0.0723126127238271,0.00602296465381986,0.0180117300327552,0.0288956910886539,0.0052883172983287,0.0105671475994761,-0.0766708243428655,-0.0134197216782504,-0.007342208506206,-0.0139885019677148,-0.0430719517323409,-0.0725855762664671,0.0706070086280928,0.0755159207488009,0.0194386333608791,-0.038010674080697,0.0359456357998019,-0.00836620308835448,0.0211689385546368,-0.0828859657759339,0.0478742653998291,0.0186249131436241,0.00388368232541077,-0.0716817636527405,-0.0718180375429836,0.0263169936909445,-0.0111265864593738,-0.0274499470808195
"37",-0.00575394818760119,-0.0367134304016957,-0.0509339328143458,0.0405867105739921,0.0430113925126466,0.0776414244136244,0.0269207498583379,0.0197317320997161,0.0342534328377857,0.0126742114298074,0.00545498446990267,-0.0747923131334067,0.00179440649236105,-0.013203426443521,-0.028383787842164,-0.0204680317184513,-0.0598791205487436,0.060323776221001,0.0683294809562131,0.0276860380145581,-0.0550368258978626,0.0392465444415351,0.0058960194771861,-0.00208501827961656,-0.052848973946289,0.0475992192213936,0.0257336469140234,0.0236453008903086,-0.0660588675698086,-0.0732821718261136,0.0232021951523747,-0.00356080494173704,-0.035804812834541
"38",-0.00720391931756626,-0.0436315624956362,-0.0504652361716902,0.0302746376427741,0.0428273137758126,0.0683477552241075,0.0198601812960905,0.0172708869369107,0.0326322100492911,0.0186728943948966,0.00703613064621967,-0.0696405065569585,0.00952897797398154,-0.0203595100366464,-0.0344540497657193,-0.00284472095311323,-0.0513593789563212,0.0488150685106303,0.0585677847607868,0.0418607179680387,-0.069606390388811,0.0357811410914928,0.0228562965249627,-0.014238575186934,-0.0474064763402715,0.0546356611161825,0.0114993700838603,0.0249645749014287,-0.0681055859933105,-0.0595105171850214,0.0108652387150711,0.0175995811018878,-0.0306392050631491
"39",-0.00637722572771719,-0.0528041409951146,-0.0320193827400967,0.0060188038466429,0.0468753963203526,0.0514784198352057,-0.00931755286914027,0.0116020931433456,0.0263225192652731,0.0115729384102468,0.00870495860987527,-0.0599919884792694,0.0105209288453697,-0.0225171007991747,-0.0302443119037121,0.00112578344550593,-0.045891642267938,0.044698106059697,0.0489271341866859,0.0439431466965435,-0.0712074050532162,0.0224017059297758,0.0366496844972792,-0.0176547131226717,-0.0585188818848287,0.0609835548707488,-0.0123408037021024,0.0132866278591009,-0.0673783998289872,-0.0353956732100856,-0.00136014231392563,0.0430151513725639,-0.0119940140123421
"40",-0.00404023885071336,-0.0558998090360193,-0.0126698684917237,-0.0143926878760557,0.0491825837146149,0.0377261596876848,-0.0345793621705654,0.00600652780456743,0.0195072124440076,0.000889188756480228,0.00864953583988343,-0.0501128547605275,0.00754508041217874,-0.0210141687227407,-0.022446525905131,-0.00316138813640986,-0.0425054949515458,0.0451184821669552,0.042346291671117,0.0368250607598736,-0.0634441185878495,0.00876767396790804,0.0425913909106857,-0.0156065697213984,-0.0692626604631824,0.0619696365676088,-0.0287505791896581,0.000725739022642336,-0.0624417002700414,-0.0162847659741481,-0.00756873877553866,0.0577849247271592,0.00347563849676872
"41",-0.00240195690613155,-0.0556865358056987,-0.00281691777707785,-0.0238502406936934,0.0496105122608901,0.0315230268946246,-0.0461669385465021,0.00304929620192251,0.0157468792773133,-0.00536290325856499,0.00803687885409565,-0.0448277920873251,0.00512331142706767,-0.0195403480686272,-0.0177166712809708,-0.00695066044867569,-0.0408988004957528,0.0462394285171563,0.0396056287004748,0.0310500634104458,-0.0573599622503123,0.00169889115505233,0.0440257612390157,-0.0135501424368013,-0.0741196001474717,0.0610313549049969,-0.035138349913465,-0.0056825963648478,-0.0586651969155912,-0.00778116432912981,-0.00929492589493316,0.062860633347008,0.0102909236907608
"42",-0.00160112360871669,-0.0551987064216669,0.000997651898453055,-0.0273717788292595,0.0496183138461485,0.0293719291248715,-0.0504553309647142,0.00185404633278605,0.0141392210676866,-0.00806326204644555,0.00761129512623742,-0.0427612989751728,0.00388697774742397,-0.0188212316101642,-0.0156811621989904,-0.00883410683084313,-0.0402772429504597,0.0469798807475111,0.0387118156458431,0.0282953167248698,-0.0545261525370818,-0.00108768789605482,0.044264129113003,-0.0124932655921861,-0.0759344414242775,0.0603771107801285,-0.0371484978175073,-0.00820222410052566,-0.0568825382846682,-0.00484434816661408,-0.00958963204345617,0.0643594076960492,0.0127125463377641
"43",-0.00130353125825386,-0.0549047041455716,0.00232937603366589,-0.0285524520693987,0.049540963719824,0.0287173388337209,-0.0518734147036639,0.00141962940964954,0.0135731085366027,-0.00907994766872437,0.00741019680571352,-0.0420172432940937,0.00339704259126217,-0.0185698960307482,-0.014941697807899,-0.00956836328668509,-0.040060899487492,0.0473264859119901,0.0384875079957455,0.0272106501743791,-0.0534480173190117,-0.00208559864144281,0.0443157501024867,-0.0121205905989275,-0.076557772776487,0.0600581767295182,-0.0377334185833926,-0.00906869139089432,-0.0562335345268682,-0.00388841215876087,-0.00960817061809475,0.0647708879945044,0.0134562938188658
"44",-0.00117642014512416,-0.0547874420756868,0.0027896554346354,-0.0289604331516855,0.0495108149616346,0.0285114086194839,-0.0523739580557009,0.00126967078595423,0.0133446065564377,-0.00946573959773952,0.00731812412843832,-0.0417665198407961,0.00318499265022678,-0.0184718060865138,-0.0146654699346601,-0.00986445835658353,-0.0399755542922764,0.0474791067744504,0.0384122769812143,0.0268084453736242,-0.0530454968482441,-0.00242713162975256,0.0443075080681202,-0.0119578454108384,-0.0767860097775224,0.0599364728973934,-0.0379070841668743,-0.00938524599663281,-0.0559806644747336,-0.0036019294982206,-0.00958556639269063,0.0648981825688577,0.013719274101893
"45",-0.00340183120109346,-0.0398996261502714,0.022094732378598,-0.0383182025403002,0.0487944053035413,0.0383727529171888,-0.0523378860983323,-0.00172803340258973,0.0157542266055832,0.0108380412417311,0.0238762057200449,-0.0451340528973416,0.00149876203485635,-0.0142475911965356,-0.0222774053250783,-0.0166926471084242,-0.0589340143858731,0.0422872220659627,0.0472880265666657,0.0410990654735184,-0.050101334477397,0.00367114291868066,0.0486199731954037,-0.00304836016693411,-0.083434493597436,0.0646502829558701,-0.0429358395774274,-0.0153219192098132,-0.0665724689545927,-0.00469590346556383,-0.0196962719068069,0.0529058445668656,0.000572526582222346
"46",-0.00348310320104655,-0.0503999908696172,0.00792543829943463,-0.0319172270188161,0.0474451873100521,0.0314307955423336,-0.0512568652603414,0.00158427108647477,0.0146824445980616,-0.00158618718037048,0.0110320963862783,-0.0421360967277134,0.00453668298944621,-0.018948045625356,-0.0194276933424233,-0.0116123910481307,-0.0451145832111615,0.0437465860809949,0.0420854872959957,0.0317509367650743,-0.0537685722564264,-0.00178851642092239,0.0471830731986836,-0.0107946937308948,-0.0777445744992567,0.0609415293920735,-0.0396476501295434,-0.011113669009136,-0.0604088120693974,-0.00224042584927666,-0.0142126068680807,0.0634720559770667,0.010672072180877
"47",-0.0125791446755995,-0.0197654177367162,-0.00489907325281349,0.0311530493578024,0.0420867964969718,0.0582400140283214,-0.00142465397030133,0.0101010246313187,0.0256077252007999,0.0406446034727491,0.0170858970452305,-0.0680906964560224,-0.0214046373031312,-0.0276745315820112,-0.0222710963797734,-0.0414918385758218,-0.0814714928758027,0.05878799532313,0.0728239830583434,0.0455088996304906,-0.0454095698196505,0.0279156118242788,0.0155617280223015,0.0317150198379643,-0.0994213017999007,0.0622942937472701,-0.00527095566376839,-0.0177110626258553,-0.0907032719408697,-0.0575754670433017,0.0089225448500464,0.00289233457604396,-0.0497016488101549
"48",-0.0183233713328358,-0.0265830654535441,-0.0220614761091796,0.0174336590207393,0.0421354714049699,0.0553232413237886,0.000186799388482222,0.0120204221874999,0.0287234245440802,0.0370007704730024,0.00424157117217778,-0.0642809511771765,-0.00294135484125669,-0.0329231509577038,-0.0325683888373248,-0.0224379081489618,-0.0638921373601868,0.0451486220827235,0.0642609576997091,0.0479075271204743,-0.0623704445625755,0.0235923893946901,0.0351269619765318,0.00467526823118909,-0.0828429767913564,0.064505717481315,-0.0116086775061056,-0.00805655563680993,-0.0881408434197459,-0.0449726533519118,-0.000695341248727542,0.0244702365319345,-0.0363632182107966
"49",-0.0224356809499413,-0.0247117136623944,-0.0113427075580135,0.0338305813870551,0.0502693145292065,0.0644901539392115,-0.00425633301667029,0.0144502821565969,0.029921356744073,0.01886508578629,0.00977149427117608,-0.0689888735419854,-0.014138110547674,-0.0180932741319437,-0.0152468997966526,-0.0488028675308437,-0.075089530447644,0.0647491720833955,0.0754911528331721,0.0405302808042906,-0.0371799903790771,0.0317130161514975,0.00829877159744066,0.0235227247086988,-0.095964183096082,0.0491402223258834,0.00871367988715806,-0.00671619282237539,-0.0843334249928177,-0.065368333683446,0.0157870719163994,-0.00776768901773593,-0.0256890497871035
"50",-0.024266802651263,-0.017538010450257,-0.00839498455823639,0.0326992692371943,0.0449358023053677,0.0634321373087811,0.00361539302001088,0.0128678739505811,0.0318276910526006,0.0385575146936768,0.0104576222769312,-0.0672585653425772,-0.0130568708227301,-0.0266263862693938,-0.0249919004816444,-0.0415981452033939,-0.0762507211693448,0.0551724740446832,0.0740294359035286,0.0504776882479039,-0.0456522034868009,0.0293521266136124,0.023752054244431,0.021543278647839,-0.0911300351576797,0.0547239231009045,0.00340385364089839,-0.00896324628783216,-0.0894886381804876,-0.0600957298682731,0.0078258249166785,-0.00166319088295486,-0.0428053825473578
"51",-0.0255640806272758,-0.0265563870979905,-0.0216563022683218,0.0184505928667447,0.0438607547602934,0.0577141696334395,0.00194330357808125,0.0129149533448258,0.032685284926731,0.0340475364835579,0.00143726476020946,-0.0628621539468099,0.00132912644917696,-0.0305331272227074,-0.0316859624380463,-0.0206784509796087,-0.0597253076909586,0.0424697713868915,0.0645009518265571,0.052664566373303,-0.0631424665724387,0.0234524606177611,0.0391210229463054,-0.00195294416213765,-0.0773144868561229,0.0573451818740917,-0.00558274885252005,-0.00176727503408253,-0.0865545510536068,-0.0456647452189057,-0.00283178602749004,0.0213227111080889,-0.0301226190516743
"52",-0.0179644381205399,-0.0404121742947896,-0.01382712442746,-0.00452937966848098,0.0471214310859618,0.0448059897722559,-0.0207457919193018,0.00847302408462774,0.0264219921967216,0.0184441959278664,0.0026699979899823,-0.0557752196295169,0.00602569915675597,-0.0268739620249894,-0.0272908213963981,-0.00835476266270803,-0.0506352098328447,0.0404517538204517,0.0522966318568584,0.0489448304990908,-0.0668142831687126,0.0127167813720074,0.0477325093731255,-0.0124750242923988,-0.0761301902834443,0.0596418845087564,-0.0227089079624525,-0.00378231966975423,-0.0771642656641246,-0.0251513347902468,-0.0102040102785409,0.0458317526569199,-0.010593910952676
"53",-0.0103935199201842,-0.0479546231704049,-0.00324537973168181,-0.0187340791004995,0.0495423358434982,0.035071548446816,-0.0388288976209767,0.00469606193055468,0.0200330623036378,0.00509324556629707,0.00583529374845837,-0.04949515802665,0.00541137123820748,-0.0227010190660556,-0.021123515196406,-0.00592855848038329,-0.0465570703283668,0.0437059227448826,0.044640474288309,0.0416857002741004,-0.0618927876959588,0.00394252314447956,0.048824937832282,-0.0138628875676305,-0.077957680306199,0.0596615158314271,-0.0332540991478068,-0.00785284257872319,-0.0679685752251111,-0.0118441881627897,-0.0115757238588284,0.0581872349266958,0.00162735485583338
"54",-0.00643419662240124,-0.0503933473855954,0.00233238641419714,-0.0244902933807368,0.0506636382275496,0.0308331274192107,-0.0470988030480908,0.00294951250871535,0.0164395087646027,-0.00132399200956659,0.00758763072860619,-0.0464764002726847,0.00411350144038441,-0.0205983879372599,-0.0177480194029244,-0.00670268079580412,-0.0451174518514652,0.0463177081801905,0.0415692049029657,0.0370957504834888,-0.0577418661835039,-0.000322803777525878,0.0480391367650144,-0.0128725001181701,-0.079249285041618,0.0593090017350467,-0.0372144346681119,-0.0103585036185296,-0.0629820374980415,-0.00658076911233852,-0.0110739984149376,0.0623863241117298,0.00648488994428269
"55",-0.00465794170470203,-0.0510944177691927,0.00461188198696059,-0.026793002374732,0.0513324048206238,0.0294374966687779,-0.0504943188211731,0.00228193802375161,0.0146939349681878,-0.00385981312393848,0.00827377680556047,-0.0454300901716051,0.00314270891863705,-0.0196113364528241,-0.0163151294495302,-0.00769094693938792,-0.0447055688992901,0.0476128982377503,0.0404005907830103,0.0350732870167856,-0.0556016751318736,-0.00190322217544901,0.0473897818675343,-0.0118522325359818,-0.0800023478479687,0.0593488367035729,-0.0386049943159705,-0.0116847842013346,-0.0607317338171892,-0.00500890909924599,-0.0105755724185206,0.0637409812286942,0.00825101623624657
"56",-0.00405740692029862,-0.0513065629436968,0.00531827009696609,-0.0273946755524693,0.051495804329229,0.0289547031466904,-0.0515570550272618,0.00213656154177281,0.0140498354696237,-0.00481866272919415,0.0084493653176172,-0.0450913048623307,0.00278865853337829,-0.0193593794636498,-0.0157852355618398,-0.00816135101021097,-0.0445215335666227,0.0481252896598626,0.0400830450515921,0.0342186960385553,-0.054839395642436,-0.00253378006746642,0.0470630037663712,-0.0114807976774242,-0.080203629019379,0.0592330453699232,-0.0388832680573174,-0.0120350308748115,-0.0599023682352477,-0.00452757157095477,-0.010303144949039,0.064180920869145,0.0089054204684063
